university_id,name,country,city
UNI-001,Kathmandu Institute of Technology,Nepal,Kathmandu
UNI-002,Sydney Metropolitan University,Australia,Sydney
UNI-003,Melbourne College of Science,Australia,Melbourne
UNI-004,London Business Academy,United Kingdom,London
UNI-005,Manchester Technical University,United Kingdom,Manchester
UNI-006,Berlin School of Engineering,Germany,Berlin
UNI-007,Munich Applied Sciences University,Germany,Munich
UNI-008,Toronto Global University,Canada,Toronto
UNI-009,Vancouver Pacific College,Canada,Vancouver
UNI-010,Boston Institute of Analytics,United States,Boston
UNI-011,Austin Technology University,United States,Austin
UNI-012,Dublin Innovation College,Ireland,Dublin
UNI-013,Auckland Southern University,New Zealand,Auckland
UNI-014,Singapore Digital Institute,Singapore,Singapore
UNI-015,Amsterdam University of Data,Netherlands,Amsterdam
UNI-016,Paris Graduate School,France,Paris
UNI-017,Zurich Federal College,Switzerland,Zurich
UNI-018,Oslo Nordic University,Norway,Oslo
UNI-019,Tokyo International Academy,Japan,Tokyo
UNI-020,Seoul Advanced Institute,South Korea,Seoul
